PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Other,MAGNOLIA / QUEEN ANNE,1.0,20294,Other,Office,1735995.75,0.3089915398698413,0.0,0.6910086041397279,59,1.0,0.0,0.8869616635458756,0.11303833645412437
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,40571,Office,NONE,1286817.375,0.9999997085833566,0.0,0.0,33,0.7325922456927362,0.2674077543072638,0.5917527297823568,0.0
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,41707,Office,Parking,1755788.5,0.9999997152276598,0.0,0.0,33,0.6245474380799386,0.3754525619200614,1.0,0.0
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,57644,Office,Other - Services,2189735.0,0.726804841681756,0.0,0.273195158318244,56,1.0,0.0,0.3500104087155645,0.33724238428977865
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,39497,Non-Refrigerated Warehouse,Office,1700057.375,0.7906033171380465,0.0,0.2093964622811627,61,1.0,0.0,0.6468086183760792,0.35319138162392083
Other,EAST,1.0,33087,Other - Entertainment/Public Assembly,NONE,3548858.25,0.4066493780077015,0.0,0.5933505515471067,84,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,NORTHWEST,1.0,27574,Office,NONE,1211349.25,0.9999997936185621,0.0,0.0,34,1.0,0.0,1.0,0.0
Senior Care Community,North,1.0,43661,Senior Care Community,Parking,3936421.5,0.6964942651593585,0.0,0.30350560782172337,18,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,NORTHWEST,1.0,76105,Office,NONE,2472350.25,0.9999998988816411,0.0,0.0,29,0.6411930884961566,0.35880691150384336,1.0,0.0
Mixed Use Property,North,1.0,32009,Non-Refrigerated Warehouse,Retail Store,1998725.25,0.6709241302675293,0.0,0.329075744652748,64,1.0,0.0,0.5467212346527539,0.4926739354556531
